mall_id,mall_name,titles,links,default price,promotional_price,rating,num_reviews,num_sold,num_available,num_like,detrailed_product
sp.btw2,Aviano Menswear,"Áo Giữ Nhiệt Nam Dài Tay AVIANO Vải Heattech Cao Cấp, Co Giãn 4 Chiều Thoải Mái Vận Động",https://shopee.vn/%C3%81o-Gi%E1%BB%AF-Nhi%E1%BB%87t-Nam-D%C3%A0i-Tay-AVIANO-V%E1%BA%A3i-Heattech-Cao-C%E1%BA%A5p-Co-Gi%C3%A3n-4-Chi%E1%BB%81u-Tho%E1%BA%A3i-M%C3%A1i-V%E1%BA%ADn-%C4%90%E1%BB%99ng-i.40342563.22384517548?sp_atk=e5e2dd77-7daf-4aac-9beb-425b5356715d&xptdk=e5e2dd77-7daf-4aac-9beb-425b5356715d,₫250.000,₫109.000,,,0,240 sản phẩm có sẵn,Đã thích (1),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Thun', 'Thương hiệu': 'AVIANO', 'Chiều dài tay áo': 'Dài tay', 'Mẫu': 'Trơn', 'Số lượng hàng khuyến mãi': '240', 'Số sản phẩm còn lại': '23733', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"[Mã FATREND2810 giảm đến 30k tối đa 99k] Áo Khoác Nam AVIANO Có Mũ 2 Lớp Chống Gió, Áo Khoác Gió Nam Chống Nước Cao Cấp",https://shopee.vn/-M%C3%A3-FATREND2810-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-t%E1%BB%91i-%C4%91a-99k-%C3%81o-Kho%C3%A1c-Nam-AVIANO-C%C3%B3-M%C5%A9-2-L%E1%BB%9Bp-Ch%E1%BB%91ng-Gi%C3%B3-%C3%81o-Kho%C3%A1c-Gi%C3%B3-Nam-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-Cao-C%E1%BA%A5p-i.40342563.19994012491?sp_atk=27763bf3-7c8c-426f-89ce-def5c4a70a25&xptdk=27763bf3-7c8c-426f-89ce-def5c4a70a25,₫450.000,₫250.000,,,9,840 sản phẩm có sẵn,Đã thích (1),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo Khoác\nÁo Khoác Mùa Đông & Áo Choàng', 'Thương hiệu': 'AVIANO', 'Mẫu': 'Trơn', 'Kiểu Áo khoác': 'Áo gió', 'Kho hàng': '840', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"[Mã FATREND2810 giảm đến 30k tối đa 99k] Áo Khoác Nam AVIANO Có Mũ Có Chun Bo Gấu, Áo Khoác Gió Nam Thể Thao Chống Nước",https://shopee.vn/-M%C3%A3-FATREND2810-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-t%E1%BB%91i-%C4%91a-99k-%C3%81o-Kho%C3%A1c-Nam-AVIANO-C%C3%B3-M%C5%A9-C%C3%B3-Chun-Bo-G%E1%BA%A5u-%C3%81o-Kho%C3%A1c-Gi%C3%B3-Nam-Th%E1%BB%83-Thao-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-i.40342563.23482882735?sp_atk=dc8c72e7-528a-403a-a619-dc2fc75a9694&xptdk=dc8c72e7-528a-403a-a619-dc2fc75a9694,₫450.000,₫250.000,,,1,358 sản phẩm có sẵn,Đã thích (1),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo Khoác\nÁo Khoác Mùa Đông & Áo Choàng', 'Thương hiệu': 'AVIANO', 'Kiểu Áo khoác': 'Áo gió', 'Kho hàng': '358', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Áo Khoác Nam AVIANO Có Mũ Tháo Rời, Áo Khoác Gió Nam Chống Gió,Chống Mưa Cao Cấp",https://shopee.vn/%C3%81o-Kho%C3%A1c-Nam-AVIANO-C%C3%B3-M%C5%A9-Th%C3%A1o-R%E1%BB%9Di-%C3%81o-Kho%C3%A1c-Gi%C3%B3-Nam-Ch%E1%BB%91ng-Gi%C3%B3-Ch%E1%BB%91ng-M%C6%B0a-Cao-C%E1%BA%A5p-i.40342563.22857383501?sp_atk=a582377e-e230-456e-bb76-cf0509ed236c&xptdk=a582377e-e230-456e-bb76-cf0509ed236c,₫399.000,₫250.000,5.0,2,3,384 sản phẩm có sẵn,Đã thích (1),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo Khoác\nÁo Khoác Mùa Đông & Áo Choàng', 'Thương hiệu': 'AVIANO', 'Mẫu': 'Trơn', 'Kiểu Áo khoác': 'Áo gió', 'Kho hàng': '384', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Bộ Đồ Nam AVIANO Chất Nỉ Dài Tay Cao Cấp, Bộ Thể Thao Nam Cổ Tròn Thu Đông 4 Màu",https://shopee.vn/B%E1%BB%99-%C4%90%E1%BB%93-Nam-AVIANO-Ch%E1%BA%A5t-N%E1%BB%89-D%C3%A0i-Tay-Cao-C%E1%BA%A5p-B%E1%BB%99-Th%E1%BB%83-Thao-Nam-C%E1%BB%95-Tr%C3%B2n-Thu-%C4%90%C3%B4ng-4-M%C3%A0u-i.40342563.23957383073?sp_atk=cd3c4a69-8b99-4bcf-b0cf-d14a208eb44c&xptdk=cd3c4a69-8b99-4bcf-b0cf-d14a208eb44c,₫598.000,₫299.000,4.8,4,15,15982 sản phẩm có sẵn,Đã thích (5),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Bộ', 'Thương hiệu': 'AVIANO', 'Chất liệu': 'Nỉ', 'Mẫu': 'Trơn', 'Kho hàng': '15982', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Áo Sweater Nam AVIANO Nhiều Màu Form Basic, Áo Dài Tay Nam Chất Nỉ Kiểu Dáng Thời Trang Hàn Quốc",https://shopee.vn/%C3%81o-Sweater-Nam-AVIANO-Nhi%E1%BB%81u-M%C3%A0u-Form-Basic-%C3%81o-D%C3%A0i-Tay-Nam-Ch%E1%BA%A5t-N%E1%BB%89-Ki%E1%BB%83u-D%C3%A1ng-Th%E1%BB%9Di-Trang-H%C3%A0n-Qu%E1%BB%91c-i.40342563.22557354520?sp_atk=c9edc9b8-a5d6-4f06-b169-3898335d9159&xptdk=c9edc9b8-a5d6-4f06-b169-3898335d9159,₫350.000,₫199.000,5.0,2,3,22759 sản phẩm có sẵn,Đã thích (4),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo Hoodie, Áo Len & Áo Nỉ\nÁo Nỉ', 'Thương hiệu': 'AVIANO', 'Chất liệu': 'Nỉ', 'Mẫu': 'Trơn', 'Kho hàng': '22759', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"[Mã FATREND2810 giảm đến 30k tối đa 99k] Áo Sweater AVIANO Form Basic, Áo Nỉ Nam Dài Tay Kiểu Dáng Thời Trang",https://shopee.vn/-M%C3%A3-FATREND2810-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-t%E1%BB%91i-%C4%91a-99k-%C3%81o-Sweater-AVIANO-Form-Basic-%C3%81o-N%E1%BB%89-Nam-D%C3%A0i-Tay-Ki%E1%BB%83u-D%C3%A1ng-Th%E1%BB%9Di-Trang-i.40342563.22382749024?sp_atk=d4bd186f-008f-4073-b6e5-3a69b35741ec&xptdk=d4bd186f-008f-4073-b6e5-3a69b35741ec,₫350.000,₫189.000,5.0,3,9,159 sản phẩm có sẵn,Đã thích (5),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo Hoodie, Áo Len & Áo Nỉ\nÁo Nỉ', 'Thương hiệu': 'AVIANO', 'Chất liệu': 'Nỉ', 'Mẫu': 'Trơn', 'Số lượng hàng khuyến mãi': '159', 'Số sản phẩm còn lại': '14356', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"[Mã FATREND2810 giảm đến 30k tối đa 99k] Bộ Đồ Nam AVIANO 4 Màu Dài Tay, Bộ Thể Thao Nam Chất Nỉ Cổ Tròn Thu Đông",https://shopee.vn/-M%C3%A3-FATREND2810-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-t%E1%BB%91i-%C4%91a-99k-B%E1%BB%99-%C4%90%E1%BB%93-Nam-AVIANO-4-M%C3%A0u-D%C3%A0i-Tay-B%E1%BB%99-Th%E1%BB%83-Thao-Nam-Ch%E1%BA%A5t-N%E1%BB%89-C%E1%BB%95-Tr%C3%B2n-Thu-%C4%90%C3%B4ng-i.40342563.19393753758?sp_atk=683d1bab-0e1d-44e4-9b74-8639ef22ed3a&xptdk=683d1bab-0e1d-44e4-9b74-8639ef22ed3a,₫598.000,₫299.000,4.9,26,99,158815 sản phẩm có sẵn,Đã thích (26),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Bộ', 'Thương hiệu': 'AVIANO', 'Chất liệu': 'Nỉ', 'Kho hàng': '158815', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"[Mã FATREND2810 giảm đến 30k tối đa 99k] Bộ Quần Áo Nam AVIANO Dài Tay, Bộ Thể Thao Nam Chất Nỉ Tổ Ong 4 Màu",https://shopee.vn/-M%C3%A3-FATREND2810-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-t%E1%BB%91i-%C4%91a-99k-B%E1%BB%99-Qu%E1%BA%A7n-%C3%81o-Nam-AVIANO-D%C3%A0i-Tay-B%E1%BB%99-Th%E1%BB%83-Thao-Nam-Ch%E1%BA%A5t-N%E1%BB%89-T%E1%BB%95-Ong-4-M%C3%A0u-i.40342563.22481759518?sp_atk=4c212806-93ce-4102-93b5-1ea9ffbebb52&xptdk=4c212806-93ce-4102-93b5-1ea9ffbebb52,₫450.000,₫250.000,5.0,7,32,15984 sản phẩm có sẵn,Đã thích (7),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Bộ', 'Thương hiệu': 'AVIANO', 'Chất liệu': 'Nỉ', 'Mẫu': 'Trơn', 'Kho hàng': '15984', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"[Mã FATREND2810 giảm đến 30k tối đa 99k] Bộ Đồ Nam AVIANO 4 Màu Dài Tay, Bộ Thể Thao Nam Chất Nỉ Tổ Ong",https://shopee.vn/-M%C3%A3-FATREND2810-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-t%E1%BB%91i-%C4%91a-99k-B%E1%BB%99-%C4%90%E1%BB%93-Nam-AVIANO-4-M%C3%A0u-D%C3%A0i-Tay-B%E1%BB%99-Th%E1%BB%83-Thao-Nam-Ch%E1%BA%A5t-N%E1%BB%89-T%E1%BB%95-Ong-i.40342563.18484638101?sp_atk=da314f73-3715-4f1e-8603-a605c1e8195e&xptdk=da314f73-3715-4f1e-8603-a605c1e8195e,₫450.000,₫195.000,4.9,85,279,157 sản phẩm có sẵn,Đã thích (52),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Bộ', 'Thương hiệu': 'AVIANO', 'Chất liệu': 'Nỉ', 'Mẫu': 'Trơn', 'Số lượng hàng khuyến mãi': '157', 'Số sản phẩm còn lại': '154593', 'Gửi từ': 'Hà Nội'}"
