Word,Count,Total Sold,Approximate Revenue,Rating Average,Shopee Mall,SM Rating Average,SM Approximate Revenue,SM Sold,Normal Shop,NS Rating Average,NS Approximate Revenue,NS Sold
thời trang,2121,32098,4290856952.0,1.5112151241613607,523,4.599648051269409,4230485320.0,31823,1598,0.5004201173544087,60371632.0,275
sơ mi,1549,6440,2270745414.0,3.0898355265573025,768,4.36925482570368,2199263220.0,6211,781,1.8317125793813505,71482194.0,229
áo sơ,1523,6356,2249436414.0,3.079816122847489,752,4.379188262575844,2177954220.0,6127,771,1.8124648270294317,71482194.0,229
cao cấp,1416,35579,6607730264.0,2.832964084318312,500,4.51818588143439,6410605540.0,34815,916,1.9130831906959984,197124724.0,764
có sẵn,761,89,16803995.0,0.24343965276948193,0,,0.0,0,761,0.24343965276948193,16803995.0,89
hàng có,760,89,16803995.0,0.24375996810207334,0,,0.0,0,760,0.24375996810207334,16803995.0,89
phong cách,1094,9081,1444885441.0,1.3348322220466229,252,4.3946190471778985,1423875050.0,8980,842,0.4190765451664786,21010391.0,101
áo thun,1080,55001,10409887803.0,2.8306086784395803,588,4.609980866621764,10401263340.0,54970,492,0.7040419169535541,8624463.0,31
cho nam,1085,492,76994483.0,0.5690947578266091,10,4.8898549854426685,34555630.0,244,1075,0.5289016394301806,42438853.0,248
áo khoác,805,13071,3569926590.0,2.3116081876606875,268,4.1918834000290905,3438588430.0,12589,537,1.3732213032757112,131338160.0,482
thể thao,781,71693,10637200136.0,3.2188902580792447,427,4.7300991094679095,10609088740.0,71566,354,1.3960479429861394,28111396.0,127
mi nam,801,2368,675182949.0,2.562499330879308,172,4.520646984098385,613453520.0,2206,629,2.0270440107621677,61729429.0,162
hàn quốc,788,12067,1590277637.0,2.463674350910019,317,4.547781288151285,1563234540.0,11961,471,1.0609951596032647,27043097.0,106
dài tay,724,21489,5025778559.0,3.6968649835719836,537,4.381065189172546,5004420030.0,21408,187,1.7320761578634205,21358529.0,81
co giãn,701,42800,6280394353.0,4.008098361728432,423,4.5832734643376,6265684310.0,42601,278,3.1329218566792294,14710043.0,199
mùa hè,681,473,84840400.0,0.6060104008975489,28,4.729946428690021,72124000.0,404,653,0.42918006586203705,12716400.0,69
chất liệu,659,8755,1866804650.0,3.6406335935145298,530,4.10045703931049,1853583650.0,8722,129,1.7514364906319018,13221000.0,33
ngắn tay,653,6773,1134031542.0,3.212852907750802,424,4.363979241839615,1119626000.0,6723,229,1.0815098262937852,14405542.0,50
trang mùa,626,35,7969790.0,0.2241746538871139,0,,0.0,0,626,0.2241746538871139,7969790.0,35
quần short,642,11843,2040216312.0,2.174443189608868,241,4.458083789596596,2031574180.0,11803,401,0.8019808838805824,8642132.0,40
áo polo,548,31715,6513495416.0,3.904994832291958,442,4.557154226461522,6512170800.0,31709,106,1.18561320754717,1324616.0,6
họa tiết,540,4140,600215202.0,1.5296791805638938,122,4.440691588650778,579638160.0,4096,418,0.6800535494954733,20577042.0,44
tay ngắn,541,3536,593535722.0,2.0846392407259122,139,4.61718181623138,568280000.0,3477,402,1.2089590964590964,25255722.0,59
thương hiệu,540,47412,9494859700.0,4.117165551094292,380,4.683212700384272,9490071300.0,47328,160,2.7728035715305936,4788400.0,84
24 giờ,478,20,5823107.0,0.1506276150627615,0,,0.0,0,478,0.1506276150627615,5823107.0,20
ảnh 100,479,218,78555681.0,1.6816789534167875,0,,0.0,0,479,1.6816789534167875,78555681.0,218
hình ảnh,479,218,78555681.0,1.6816789534167875,0,,0.0,0,479,1.6816789534167875,78555681.0,218
chuẩn hình,476,225,81348681.0,1.6857450202637507,0,,0.0,0,476,1.6857450202637507,81348681.0,225
cấp chuẩn,5,138,32882000.0,4.877068750369115,5,4.877068750369115,32882000.0,138,0,,0.0,0
qc cao,458,192,70501336.0,1.559698803925144,0,,0.0,0,458,1.559698803925144,70501336.0,192
hàng qc,455,198,72736536.0,1.5262343652421033,0,,0.0,0,455,1.5262343652421033,72736536.0,198
trẻ trung,450,29774,5744628871.0,3.5224222202142887,315,4.453061206022,5737637300.0,29755,135,1.3509312533296274,6991571.0,19
bản supper,432,196,72737876.0,1.550503646773453,0,,0.0,0,432,1.550503646773453,72737876.0,196
cổ tròn,430,10698,1878749996.0,2.9003013634045214,215,4.6375614277688335,1856187550.0,10618,215,1.1630412990402097,22562446.0,80
sẵn hàng,1,1,198000.0,4.375,0,,0.0,0,1,4.375,198000.0,1
supper hàng,426,180,67900536.0,1.5171375443616935,0,,0.0,0,426,1.5171375443616935,67900536.0,180
dành cho,401,897,153814454.0,1.2458058751335628,10,4.719286947259038,129994490.0,701,391,1.1569700420868754,23819964.0,196
thoáng mát,388,6575,867949677.0,4.508659396525239,240,4.549600313960043,863869820.0,6487,148,4.442268719603935,4079857.0,88
nam tay,375,2858,499011000.0,2.067062962386682,62,4.465402582279918,472667000.0,2799,313,1.591992494548405,26344000.0,59
mi dài,357,1740,857114900.0,4.25523040585728,352,4.315674019576844,857114900.0,1740,5,0.0,0.0,0
sẵn quần,1,2,322000.0,0.0,0,,0.0,0,1,0.0,322000.0,2
nam owen,349,1524,730910490.0,4.273784729025177,349,4.273784729025177,730910490.0,1524,0,,0.0,0
thiết kế,337,13017,2807020564.0,3.8476422399777555,266,4.663880840448768,2806499500.0,13015,71,0.789621567790582,521064.0,2
thun nam,341,20964,2571627650.0,3.616961622117871,247,4.580203039964248,2570841650.0,20958,94,1.085891087989623,786000.0,6
polo nam,335,24501,4503723350.0,4.2662568636602165,271,4.684917771191288,4497533350.0,24484,64,2.493489583333333,6190000.0,17
màu xanh,335,990,412754710.0,2.82360471879375,176,4.039430032154136,396686980.0,937,159,1.4777855040048937,16067730.0,53
fit màu,385,1802,897983410.0,4.0633681744270795,383,4.058850141768362,897455410.0,1801,2,4.928571428571429,528000.0,1
hiệu coolmate,322,43113,9031805300.0,4.655201576419152,322,4.655201576419152,9031805300.0,43113,0,,0.0,0
dày dặn,322,13048,2706288833.0,2.99005544968284,181,4.408920015016159,2694982580.0,13014,141,1.1686761140421964,11306253.0,34
tay dài,318,3172,653876699.0,1.5991875920199405,41,4.655343680719869,628827280.0,3070,277,1.146832358674464,25049419.0,102
cách hàn,317,4221,617709747.0,1.4883051034732204,79,4.574593876122903,611012050.0,4193,238,0.4638647125516874,6697697.0,28
thoáng khí,317,22855,3262564044.0,3.4864267292789233,194,4.712332390831632,3257747440.0,22757,123,1.552884466342131,4816604.0,98
tay nam,314,3341,1148057740.0,4.369027551953549,309,4.368526379655062,1148057740.0,3341,5,4.4,0.0,0
nam nữ,309,12100,1610035878.0,3.369165814248622,206,4.235246908364837,1605829300.0,12062,103,1.6370036260161922,4206578.0,38
nam cổ,299,15682,1829642160.0,3.719692057581063,200,4.6549375253862095,1816568160.0,15633,99,1.8303072741363235,13074000.0,49
thao nam,281,37376,6395444997.0,4.0674572542679375,200,4.8281154272146845,6383371190.0,37315,81,2.1892889260043633,12073807.0,61
thoải mái,281,33451,5007692274.0,4.309984106742092,230,4.580697586414521,5005186380.0,33423,51,3.089119394493878,2505894.0,28
quần lót,272,28103,5022339642.0,4.439551895578249,138,4.777803668618087,5017551260.0,27993,134,4.091203054686474,4788382.0,110
sẵn sàng,280,12,2068651.0,0.05,0,,0.0,0,280,0.05,2068651.0,12
thấm hút,279,14701,2067993489.0,4.619172818696105,172,4.716009672850657,2064335290.0,14635,107,4.463509838185986,3658199.0,66
chất vải,278,24378,2518769932.0,4.329045114089107,77,4.656172253388606,2491573890.0,24192,201,4.2037277522679055,27196042.0,186
áo len,271,9702,1730565986.0,4.193499823958924,220,4.564934390394853,1713131530.0,9631,51,2.5912330667843326,17434456.0,71
slim fit,273,1419,731265590.0,4.108132178767974,239,4.428256979652678,728038270.0,1415,34,1.8578431372549018,3227320.0,4
cho nữ,272,36,4843359.0,0.5171714621163152,0,,0.0,0,272,0.5171714621163152,4843359.0,36
sang trọng,269,12226,3388884998.0,3.442072756713655,182,4.39658921541285,3372687400.0,12177,87,1.4452682109291304,16197598.0,49
quần dài,269,7226,1968917284.0,0.7676447865337305,29,4.565704743181017,1960853000.0,7174,240,0.30871254177218327,8064284.0,52
dáng rộng,256,426,69085448.0,0.5064727753172816,17,4.8229625773269085,64362280.0,386,239,0.199442119944212,4723168.0,40
thu đông,251,8127,2335487418.0,0.9521203809110593,39,4.47959484958014,2273539580.0,7814,212,0.30319819092004896,61947838.0,313
regular fit,251,2928,905788860.0,4.1586196451179935,251,4.1586196451179935,905788860.0,2928,0,,0.0,0
trong vòng,248,10,2789336.0,0.18951612903225806,0,,0.0,0,248,0.18951612903225806,2789336.0,10
vòng 24,248,10,2789336.0,0.18951612903225806,0,,0.0,0,248,0.18951612903225806,2789336.0,10
mềm mại,244,16644,2244857603.0,4.182592055190791,222,4.427353430029518,2244199540.0,16640,22,1.7127272727272727,658063.0,4
khoác nam,223,5776,1313730030.0,2.884987720960545,67,4.450802376397377,1275333130.0,5700,156,2.2124904009972894,38396900.0,76
đùi nam,187,12526,1167315783.0,4.775431826783855,69,4.757624100693168,1163594690.0,12390,118,4.785844819158917,3721093.0,136
mồ hôi,237,2570,400491779.0,4.447712036986065,146,4.426922099868714,396771000.0,2499,91,4.481067320712805,3720779.0,71
thun lạnh,234,4332,471310176.0,4.68688015793526,50,4.895193143548904,466998960.0,4181,184,4.630273368366336,4311216.0,151
mềm mịn,225,14377,1868180530.0,4.239622147989222,195,4.38985339931895,1844489230.0,14244,30,3.2631190143459934,23691300.0,133
ống rộng,227,482,96837550.0,0.6250227981964497,16,4.8675109494121305,91887000.0,452,211,0.3033175355450237,4950550.0,30
nam khatoco,223,135,50322000.0,2.731214259149709,0,,0.0,0,223,2.731214259149709,50322000.0,135
hè cho,220,13,2629662.0,0.2075757575757576,0,,0.0,0,220,0.2075757575757576,2629662.0,13
quần tây,217,2019,521606803.0,3.4641918251154107,119,4.364350287285149,486491250.0,1851,98,2.3711422639092987,35115553.0,168
màu đen,209,2170,387165424.0,2.7171227774452076,96,3.875303592456749,378501000.0,2133,113,1.733181554072571,8664424.0,37
cổ bẻ,206,2627,540576950.0,3.472586999160701,100,4.498289832656658,539941950.0,2624,106,2.504942816617345,635000.0,3
hàng sẵn,208,12,2068651.0,0.0673076923076923,0,,0.0,0,208,0.0673076923076923,2068651.0,12
body fit,206,522,260540000.0,4.291146042722889,206,4.291146042722889,260540000.0,522,0,,0.0,0
năng động,201,16330,2934472498.0,2.5560739676233903,102,4.636479093061779,2933006900.0,16324,99,0.4126262626262626,1465598.0,6
mi ngắn,200,458,237198800.0,4.026493746948411,182,4.312855906762131,233040800.0,436,18,1.131054131054131,4158000.0,22
vải thun,199,10781,786081132.0,4.699989573826931,34,4.919098609006191,781987600.0,10637,165,4.654839833244538,4093532.0,144
xanh mã,194,43,16934000.0,1.2002945508100147,0,,0.0,0,194,1.2002945508100147,16934000.0,43
trang xuân,192,8,2156823.0,0.203125,0,,0.0,0,192,0.203125,2156823.0,8
short nam,178,5937,1139001762.0,3.341039944666454,91,4.509991929634352,1131529360.0,5905,87,2.1183430408494575,7472402.0,32
lót nam,178,17432,3091189576.0,4.073644225056749,105,4.604644608659926,3087867260.0,17378,73,3.309876550011084,3322316.0,54
quần sịp,168,1911,222411249.0,4.647397022276657,33,4.781596423224156,219047620.0,1773,135,4.614592724267268,3363629.0,138
trang hàn,177,1159,197157607.0,3.0527014756709323,113,4.504084022363614,195783940.0,1152,64,0.4901041666666667,1373667.0,7
túi đeo,175,2014,170263000.0,4.306850209171033,175,4.306850209171033,170263000.0,2014,0,,0.0,0
form rộng,171,3358,598163620.0,4.358896116138013,156,4.604516469185471,597225620.0,3356,15,1.8044444444444447,938000.0,2
