SM_Name,SM_Total_Sold,SM_Rating_Average,SM_Approximate_Revenue
Aviano Menswear,32564,4.868854375643341,5567569000.0
POLOMANOR,15959,4.843272011163116,4110210000.0
TSLA Store Quần áo legging nam,2361,4.67061352663723,367954840.0
Coolmate - Official Store,72927,4.7079481063821875,13560440800.0
5S FASHION OFFICIAL,14083,4.789381702740139,2848612000.0
ROUGH,9333,4.558268965340192,1196077000.0
Pattern,5745,4.780963978653035,1010936000.0
Levents .vn,22354,4.607361483099232,8519941500.0
Guzado Official,36727,4.770071926839676,3922139390.0
Thời Trang MANDO,1564,4.761730350592094,301989000.0
TSIMPLE_OFFICIAL,3811,4.591569186337963,436946000.0
Thời trang nam Owen,3441,4.143722961528515,1806392370.0
Biluxury Official,4146,4.157909701645993,1311942000.0
FEAER STORE PREMIUM,4171,4.648270663686369,1072975000.0
SUKIYA OFFICIAL STORE,11240,4.462828615875303,1847133700.0
4MEN OFFICIAL,1833,3.91823823317417,365554000.0
BAO DANG fashion,4014,3.8014177974959913,410893000.0
4U SHOP,1367,4.370862552113505,220103000.0
THỜI TRANG EVEREST,21764,4.831118990816197,1287074840.0
Kojiba Việt Nam,550,4.671058951114647,67122000.0
HARAS VietNam - Official Store,5628,4.370802536607526,571908000.0
SAIGONESE.Clothing,10261,4.50960304895232,1655130000.0
AREMI,2453,4.377508084648361,402454000.0
