shop_name,item_name,keyword,sold,rating,approximate revenue
Aviano Menswear,Bộ Thể Thao Nam 4 Màu Trẻ Trung Nặng Động VICERO,thể thao,62,4.906764168190128,10478000.0
Aviano Menswear,Quần Thể Thao Cho Bé 4 Màu Thời Trang BELLO LAND,thể thao,1,5.0,89000.0
Aviano Menswear,Áo Khoác Thể Thao Nam 3 Màu Trẻ Trung Cao Cấp VICERO,thể thao,84,4.839285714285714,10836000.0
Aviano Menswear,"Bộ Đồ Nam AVIANO 4 Màu Dài Tay, Bộ Thể Thao Nam Chất Nỉ Tổ Ong",thể thao,3912,4.84771986970684,762840000.0
Aviano Menswear,Bộ Thể Thao Nam Chất Nỉ 4 Màu Trẻ Trung Năng Động Thời Trang Cao Cấp VICERO,thể thao,6595,4.846811875494213,1220075000.0
Aviano Menswear,Bộ Nỉ Thể Thao Thời Trang Thiết Kế Năng Động Trẻ Trung Cao Cấp ZERO,thể thao,1284,4.87508261731659,250380000.0
Aviano Menswear,Bộ Thể Thao Nam 3 Sọc Mùa Đông Da Cá Chéo Thời Trang Thiết Kế AVIANO,thể thao,1833,4.87437867148667,504075000.0
Aviano Menswear,"Bộ Đồ Nam AVIANO 4 Màu Dài Tay, Bộ Thể Thao Nam Chất Nỉ Cổ Tròn Thu Đông",thể thao,1001,4.868501529051988,285285000.0
Aviano Menswear,"Bộ Đồ Nam AVIANO Cổ Tròn Cộc Tay Phối Kẻ Viền Tay, Đồ Thể Thao Nam Form Dáng Basic",thể thao,391,4.926441487546913,77809000.0
Aviano Menswear,"Bộ Đồ Nam AVIANO Cổ Tròn Tay Ngắn, Bộ Thể Thao Nam Chất Liệu Poly Coolmax Thấm Hút Mồ Hôi",thể thao,584,4.9201852443308844,108040000.0
Aviano Menswear,"Áo Thun Thể Thao Nam Công Nghệ Dri-Air Siêu Mát AVIANO, Thiết Kế Sọc Vai, Áo Thun Nam Thoáng Khí, Thoải Mái Vận Động",thể thao,166,4.9444027047332835,21414000.0
Aviano Menswear,"Bộ Đồ Nam AVIANO Chất Nỉ Dài Tay Cao Cấp, Bộ Thể Thao Nam Cổ Tròn Thu Đông 4 Màu",thể thao,141,4.9411764705882355,42159000.0
