mall_id,mall_name,Finish,Page
sp.btw2,Aviano Menswear,OKE,
poloman.vn,HAPPYHOW,OKE,
tsla.store,TSLA Store Quần áo legging nam,OKE,
coolmate.vn,Coolmate - Official Store,OKE,
5s_official,5S OFFICIAL,OKE,
rough.vn,ROUGH,OKE,
patternvn,Pattern,OKE,
levents.vn,Levents .vn,PROCESSING,5+1
guzado.vn,Guzado Official,,
thoitrangmando,Thời Trang MANDO,,
tsimple_official,TSIMPLE_OFFICIAL,,
owen.fashion,Thời trang nam Owen,,
thoitrangbiluxury,Biluxury Official,,
feaer_store,FEAER STORE PREMIUM,,
sukiyafashion.vn,SUKIYA OFFICAL STORE,,
4menstores,4MEN_OFFICIAL ,,
haidang.fashion,haidang.fashion,,
thoitrangnam4u,4U SHOP,,
thoitrangeverest,THỜI TRANG EVEREST,,
kojibavn,Kojiba Việt Nam,,
hara.vn,Balo HARAS VietNam,,
sges.clothing,SGES.Unisex,,
aremishop_2020,AREMI,,
